iter	Passed	Remaining
0	1	1079
1	1	945
2	2	876
3	3	832
4	4	816
5	4	799
6	5	783
7	6	777
8	7	771
9	8	806
10	9	813
11	9	813
12	10	804
13	11	798
14	12	792
15	12	786
16	13	782
17	14	778
18	15	774
19	15	769
20	16	765
21	17	762
22	17	758
23	18	756
24	19	755
25	20	751
26	20	748
27	21	744
28	22	746
29	23	755
30	24	756
31	24	755
32	25	753
33	26	751
34	27	748
35	27	746
36	28	749
37	29	747
38	30	747
39	31	745
40	31	742
41	32	740
42	33	739
43	33	737
44	34	735
45	35	733
46	36	732
47	36	733
48	38	740
49	39	742
50	39	741
51	40	741
52	41	740
53	42	739
54	43	738
55	43	738
56	44	737
57	45	736
58	46	735
59	46	735
60	47	734
61	48	733
62	49	733
63	50	732
64	50	731
65	51	735
66	53	740
67	54	741
68	54	741
69	55	741
70	56	741
71	57	739
72	58	738
73	58	737
74	59	735
75	60	733
76	61	732
77	61	730
78	62	728
79	63	726
80	63	724
81	64	723
82	65	718
83	65	717
84	66	717
85	68	722
86	68	723
87	69	723
88	70	722
89	71	721
90	72	719
91	72	718
92	73	717
93	74	715
94	74	714
95	75	712
96	76	710
97	76	708
98	77	706
99	78	704
100	78	702
101	79	700
102	80	699
103	81	698
104	82	700
105	82	699
106	83	699
107	84	697
108	85	696
109	85	695
110	86	694
111	87	693
112	88	692
113	88	690
114	89	688
115	90	687
116	90	684
117	91	683
118	92	681
119	92	679
120	93	678
121	93	676
122	94	674
123	95	673
124	96	672
125	97	673
126	97	671
127	98	671
128	99	670
129	99	669
130	100	667
131	101	666
132	101	664
133	102	663
134	103	662
135	104	660
136	104	659
137	105	658
138	106	657
139	106	655
140	107	654
141	107	651
142	109	653
143	109	653
144	110	652
145	111	653
146	112	652
147	113	652
148	114	651
149	114	650
150	115	648
151	116	647
152	116	645
153	117	645
154	118	644
155	118	643
156	119	642
157	120	641
158	120	639
159	121	638
160	122	635
161	122	634
162	123	634
163	124	633
164	125	633
165	126	633
166	126	633
167	127	632
168	128	631
169	129	630
170	129	628
171	130	627
172	131	626
173	131	625
174	132	624
175	133	622
176	133	621
177	134	620
178	135	619
179	135	618
180	136	617
181	137	616
182	137	615
183	138	614
184	139	613
185	139	611
186	140	611
187	141	612
188	142	612
189	143	611
190	144	610
191	144	609
192	145	608
193	146	606
194	146	605
195	147	604
196	148	603
197	148	602
198	149	601
199	150	600
200	150	598
201	151	597
202	151	596
203	152	595
204	153	594
205	153	593
206	154	592
207	155	591
208	156	591
209	157	590
210	157	590
211	158	589
212	159	588
213	159	587
214	160	586
215	161	584
216	161	583
217	162	582
218	163	581
219	163	580
220	164	579
221	165	578
222	165	577
223	166	576
224	167	575
225	167	574
226	168	573
227	168	572
228	169	571
229	170	570
230	171	571
231	172	571
232	173	570
233	173	569
234	174	568
235	175	567
236	175	566
237	176	565
238	177	563
239	177	562
240	178	561
241	179	560
242	179	559
243	180	559
244	181	558
245	181	557
246	182	556
247	183	555
248	183	554
249	184	553
250	185	552
251	186	553
252	187	552
253	187	551
254	188	550
255	189	549
256	189	548
257	190	547
258	191	546
259	191	545
260	192	544
261	193	543
262	193	542
263	194	542
264	195	541
265	195	540
266	196	539
267	197	538
268	197	537
269	198	536
270	199	535
271	199	534
272	200	534
273	201	534
274	202	533
275	203	532
276	203	532
277	204	531
278	205	530
279	205	529
280	206	528
281	207	527
282	207	526
283	208	525
284	209	524
285	209	523
286	210	522
287	211	521
288	211	520
289	212	520
290	213	519
291	213	518
292	214	517
293	215	516
294	216	516
295	216	515
296	217	515
297	218	514
298	219	513
299	219	512
300	220	511
301	220	510
302	221	509
303	222	509
304	223	508
305	223	507
306	224	506
307	225	505
308	225	504
309	226	503
310	226	502
311	227	501
312	228	500
313	228	500
314	229	499
315	230	498
316	231	498
317	232	497
318	232	497
319	233	496
320	234	495
321	234	494
322	235	493
323	236	492
324	236	492
325	237	491
326	238	490
327	238	489
328	239	488
329	240	487
330	240	486
331	241	485
332	242	484
333	242	484
334	243	483
335	244	482
336	244	481
337	245	480
338	246	480
339	247	479
340	247	479
341	248	478
342	249	477
343	249	476
344	250	475
345	251	474
346	251	473
347	252	473
348	253	472
349	253	471
350	254	470
351	255	469
352	255	468
353	256	467
354	257	466
355	257	466
356	258	465
357	258	464
358	259	463
359	260	463
360	261	462
361	262	462
362	262	461
363	263	460
364	264	459
365	264	458
366	265	458
367	266	457
368	267	456
369	267	455
370	268	455
371	269	454
372	269	453
373	270	452
374	271	451
375	271	451
376	272	450
377	273	449
378	273	448
379	274	447
380	275	447
381	276	446
382	276	446
383	277	445
384	278	444
385	278	443
386	279	442
387	280	442
388	280	441
389	281	440
390	282	439
391	282	438
392	283	437
393	284	437
394	284	436
395	285	435
396	286	434
397	286	433
398	287	432
399	288	432
400	288	431
401	289	430
402	290	430
403	291	429
404	292	429
405	292	428
406	293	427
407	294	427
408	294	426
409	295	425
410	296	424
411	296	423
412	297	422
413	298	422
414	298	421
415	299	420
416	300	419
417	300	418
418	301	418
419	302	417
420	302	416
421	303	415
422	304	414
423	304	413
424	305	413
425	306	413
426	307	412
427	308	411
428	308	410
429	309	410
430	310	409
431	310	408
432	311	407
433	312	406
434	312	406
435	313	405
436	314	404
437	314	403
438	315	402
439	315	402
440	316	401
441	317	400
442	317	399
443	318	398
444	319	398
445	320	397
446	321	397
447	321	396
448	322	395
449	323	395
450	323	394
451	324	393
452	325	392
453	325	391
454	326	391
455	327	390
456	327	389
457	328	388
458	329	387
459	329	387
460	330	386
461	331	385
462	331	384
463	332	384
464	333	383
465	333	382
466	334	381
467	335	381
468	336	380
469	336	380
470	337	379
471	338	378
472	338	377
473	339	376
474	340	376
475	340	375
476	341	374
477	342	373
478	342	372
479	343	372
480	344	371
481	344	370
482	345	369
483	346	369
484	346	368
485	347	367
486	348	366
487	348	365
488	349	365
489	350	364
490	351	364
491	352	363
492	352	362
493	353	361
494	354	361
495	354	360
496	355	359
497	356	358
498	356	358
499	357	357
500	357	356
501	358	355
502	359	354
503	359	354
504	360	353
505	361	352
506	361	351
507	362	351
508	363	350
509	363	349
510	364	349
511	365	348
512	366	347
513	367	347
514	367	346
515	368	345
516	369	344
517	369	344
518	370	343
519	371	342
520	371	341
521	372	341
522	373	340
